"#";LATITUDE;LONGITUDE;NAME
351;1.7532;31.4891;DIRECT_00093 - Bundongo_2
352;1.7654;31.5297;DIRECT_00094 - Bundongo_3
353;1.723;31.6372;DIRECT_00095 - Bundongo_4
354;1.7278;31.5805;DIRECT_00096 - Bundongo_5
355;1.8042;31.6047;DIRECT_00097 - Bundongo_6
356;1.7858;31.5641;DIRECT_00098 - Bundongo_7
357;1.7654;31.6146;DIRECT_00099 - Bundongo_8
358;-24.1641;21.8929;DIRECT_00102 - Tshane
359;47.8211;7.45539;DIRECT_00104 - Harth Forest
360;52.03;16.83;DIRECT_00106 - Koscianski (PL)
361;-22.22;-48.15;DIRECT_00108 - Brotas
362;-22.35;-46.37;DIRECT_00109 - Brotas2
363;31.35;35.0333;DIRECT_00110 - Yatir Forest
364;46.1636;-0.477083;DIRECT_00111 - Chize1
365;46.2898;-0.343625;DIRECT_00112 - Chize2
366;9.76007;1.59901;DJOUGOU
367;55.5303;12.0972;DK-RIS
368;36.626;-116.018;DRA
369;39.5634;-76.2039;DRAGON_ALDINO
370;39.6385;-104.569;DRAGON_AURORA_EAST
371;36.2062;-120.105;DRAGON_HURON
372;35.026;134.336;DRAGON_NISHIHARIMA
373;30.0394;-95.6739;DRAGON_NW_HARRIS_CO
374;36.5974;-119.504;DRAGON_PARLIER
375;40.1828;-104.726;DRAGON_PLATTEVILLE
376;36.6343;-120.382;DRAGON_TRANQUILITY
377;30.0583;-94.9781;DRAGON_UH_W_LIBERTY
378;40.13;94.34;DUNHUANG1
379;36.605;-97.485;E13
380;44.2257;-79.75;EGBERT
381;27.058;27.9902;EL_FARAFRA
382;-19.175;15.9144;ETOSHA_PAN
383;38.5678;-7.9115;EVORA
384;25.47;-80.85;FLORIDA_COASTAL_EVERGLADES_LTER_FCE
385;48.308;-105.102;FORT_PECK
386;-31.0863;141.701;FOWLERS_GAP
387;48.3167;-105.1;FPE
388;43.5494;1.10778;FR-AUR
389;36.8093;-115.935;FRENCHMAN_FLAT
390;5.2777;-52.9288;GF-GUY
391;-23.5614;15.042;GOB
392;28.4264;77.15;GUAL_PAHARI
393;26.4718;80.5218;HAND_N_60708
394;26.2856;80.4927;HAND_S_50608
395;15.3292;-1.54667;HOMBURI
396;40.144;-109.468;HORSEPOOL
397;51.9867;-8.75181;IE-DRI
398;13.2784;-5.93387;IER_CINZANA
399;36.5583;-100.606;IHOP-HOMESTEAD
400;31.345;35.0515;IL-YAT
401;-16.212;12.06;IONA
402;46.0031;13.0257;IT-BE2
403;43.3046;11.2706;IT-LEC
404;42.4081;11.93;IT-RO1
405;-22.4132;-45.4524;ITAJUBA
406;35.57;-115.4;IVANPAH_PLAYA
407;-8.63333;-62.75;JAMARI
408;-9.2;-63.1;JAMTOWN
409;32.6;-106.86;JORNADA1
410;32.62;-106.74;JORNADA_BASIN_LTER_JRN
411;36.054;140.027;JP-MAS
412;-10.1667;31.1833;KASAMA
413;34.9508;-106.507;KIRTLAND_AFB
414;2.3353;26.0675;KONGO_00001
415;-0.757;20.718;KONGO_00002
416;39.0825;-96.5597;KONZA
417;39.08;-96.56;KONZAPRARIE
